Latitude,Longitude,Accuracy,Time,Reading
-34.02497823,150.66256107,3,132414,4.77
-34.02500206,150.66255563,3,132415,4.98
-34.02502646,150.66255086,3,132416,4.43
-34.02505038,150.66254744,3,132417,4.74
-34.02507475,150.66254287,3,132418,4.35
-34.02509939,150.6625375,3,132419,4.630001
-34.02515504,150.66252483,3,132421,4.46
-34.02518273,150.66251775,3,132422,4.77
-34.02521053,150.6625102,3,132423,4.66
-34.02523823,150.66250262,3,132424,4.8
-34.02526592,150.66249566,3,132425,4.5
-34.02529372,150.6624883,3,132426,4.65
-34.02532179,150.66248029,3,132427,4.65
-34.02535054,150.66247203,3,132428,4.62
-34.02537949,150.66246471,3,132429,4.35
-34.02540858,150.66245737,3,132430,4.58
-34.02543802,150.66244993,3,132431,4.6
-34.0254677,150.66244213,3,132432,4.7
-34.02549741,150.66243446,3,132433,4.59
-34.02552746,150.66242636,3,132434,4.63
-34.0255579,150.66241793,3,132435,4.88
-34.02558837,150.66240958,3,132436,4.52
-34.02561928,150.66240074,3,132437,4.75
-34.02564991,150.66239183,3,132438,4.55
-34.02568002,150.6623834,3,132439,4.66
-34.02570961,150.66237537,3,132440,4.74
-34.02573852,150.66236768,3,132441,4.35
-34.02576623,150.66236058,3,132442,4.38
-34.02578926,150.6623551,3,132443,4.79
-34.02581264,150.66235009,3,132444,4.65
-34.02583601,150.66234451,3,132445,4.38
-34.02585969,150.66233922,3,132446,4.88
-34.02588315,150.66233333,3,132447,4.98
-34.02590665,150.66232696,3,132448,4.55
-34.02593048,150.66231976,3,132449,4.54
-34.02595448,150.66231292,3,132450,4.37
-34.02597833,150.66230588,3,132451,4.39
-34.02600254,150.66229894,3,132452,4.74
-34.02602752,150.66229251,3,132453,4.71
-34.02605297,150.66228609,3,132454,4.92
-34.02607891,150.66227939,3,132455,4.37
-34.02610593,150.66227274,3,132456,4.37
-34.02613261,150.6622658,3,132457,4.8
-34.02615845,150.66225834,3,132458,4.86
-34.02618382,150.66224982,3,132459,4.73
-34.02620881,150.66224115,3,132500,4.99
-34.02623343,150.66223144,3,132501,4.77
-34.02625785,150.66222137,3,132502,5.09
