,Time,Lon,Lat,Reading,,Time,Reading,
295,600,150.662305,-34.0265083,12.6175,,,,
296,601,150.6622883,-34.0265067,12.63,,,,
297,602,150.662275,-34.0264983,12.6425,,,,
298,603,150.6622683,-34.026485,12.6475,,,,
299,604,150.6622683,-34.0264683,12.6525,,,,
300,605,150.6622733,-34.0264517,12.6825,,,,
301,606,150.66228,-34.026435,12.7,,,,
302,607,150.6622867,-34.0264167,12.7,,,,
303,608,150.6622917,-34.0263967,12.7,,,,
304,609,150.6622983,-34.0263767,12.7175,,,,
305,610,150.662305,-34.0263567,12.7175,,,,
306,611,150.6623117,-34.026335,12.7125,,,,
307,612,150.6623183,-34.026315,12.7,,,,
308,613,150.662325,-34.026295,12.6775,,,,
309,614,150.66233,-34.0262733,12.6625,,,,
310,615,150.6623367,-34.0262533,12.645,,,,
311,616,150.6623433,-34.0262333,12.6275,,,,
312,617,150.6623483,-34.0262117,12.61,,,,
313,618,150.662355,-34.0261917,12.605,,,,
314,619,150.6623617,-34.02617,12.6225,,,,
315,620,150.6623667,-34.02615,12.645,,,,
316,621,150.6623733,-34.0261283,12.67,,,,
317,622,150.66238,-34.0261083,12.7375,,,,
318,623,150.6623867,-34.0260867,12.8125,,,,
319,624,150.6623917,-34.0260667,12.8825,,,,
320,625,150.6623983,-34.026045,12.95,,,,
321,626,150.662405,-34.0260267,13.0275,,,,
322,627,150.66241,-34.026005,13.08,,,,
323,628,150.662415,-34.0259867,13.0975,,,,
324,629,150.66242,-34.0259683,13.085,,,,
325,630,150.6624267,-34.02595,13.045,,,,
326,631,150.6624333,-34.0259317,12.9975,,,,
327,632,150.66244,-34.0259133,12.93,,,,
328,633,150.662445,-34.0258967,12.8325,,,,
329,634,150.66245,-34.0258817,12.75,,,,
330,635,150.66245,-34.0258667,12.66,,,,
331,636,150.6624417,-34.0258533,12.575,,,,
332,637,150.6624283,-34.025845,12.4925,,,,
333,638,150.66241,-34.0258433,12.4375,,,,
334,639,150.6623933,-34.0258483,12.4025,,,,
335,640,150.66238,-34.0258583,12.41,,,,
336,641,150.6623717,-34.0258717,12.46,,,,
337,642,150.662365,-34.0258867,12.54,,,,
338,643,150.6623617,-34.0259033,12.6475,,,,
339,644,150.6623567,-34.02592,12.7575,,,,
340,645,150.6623533,-34.0259383,12.865,,,,
341,646,150.6623483,-34.025955,12.995,,,,
342,647,150.6623433,-34.0259733,13.1275,,,,
343,648,150.66234,-34.0259933,13.255,,,,
344,649,150.662335,-34.0260117,13.3425,,,,
345,650,150.66233,-34.02603,13.4275,,,,
346,651,150.6623233,-34.02605,13.5025,,,,
347,652,150.6623167,-34.02607,13.5525,,,,
348,653,150.6623117,-34.02609,13.575,,,,
349,654,150.662305,-34.0261117,13.5775,,,,
350,655,150.6623,-34.0261317,13.5725,,,,
351,656,150.662295,-34.0261533,13.5825,,,,
352,657,150.6622883,-34.026175,13.59,,,,
353,658,150.6622833,-34.0261983,13.62,,,,
354,659,150.662275,-34.02622,13.6525,,,,
355,660,150.66227,-34.0262417,13.695,,,,
356,661,150.6622633,-34.026265,13.73,,,,
357,662,150.6622567,-34.0262867,13.76,,,,
358,663,150.6622517,-34.0263083,13.815,,,,
359,664,150.662245,-34.02633,13.86,,,,
360,665,150.66224,-34.0263517,13.905,,,,
361,666,150.662235,-34.0263717,13.9275,,,,
362,667,150.66223,-34.02639,13.95,,,,
363,668,150.6622233,-34.0264083,13.945,,,,
364,669,150.6622117,-34.02642,13.9475,,,,
365,670,150.6621933,-34.0264233,13.955,,,,
366,671,150.66218,-34.0264183,13.955,,,,
367,672,150.66217,-34.0264083,13.9425,,,,
368,673,150.6621667,-34.0263933,13.9425,,,,
369,674,150.6621667,-34.0263783,13.9675,,,,
370,675,150.66217,-34.0263617,14.0375,,,,
371,676,150.662175,-34.0263417,14.105,,,,
372,677,150.66218,-34.0263217,14.175,,,,
373,678,150.662185,-34.0263017,14.2425,,,,
374,679,150.6621917,-34.02628,14.2925,,,,
375,680,150.6621967,-34.0262583,14.3375,,,,
376,681,150.6622033,-34.0262367,14.3575,,,,
377,682,150.66221,-34.0262133,14.3625,,,,
378,683,150.6622167,-34.0261917,14.37,,,,
379,684,150.662225,-34.02617,14.405,,,,
380,685,150.6622317,-34.0261467,14.4375,,,,
381,686,150.6622383,-34.0261233,14.4675,,,,
382,687,150.662245,-34.0261,14.51,,,,
383,688,150.6622533,-34.0260783,14.545,,,,
384,689,150.66226,-34.026055,14.5825,,,,
385,690,150.6622683,-34.0260333,14.6325,,,,
386,691,150.662275,-34.02601,14.675,,,,
387,692,150.6622817,-34.0259867,14.7275,,,,
388,693,150.6622883,-34.025965,14.795,,,,
389,694,150.662295,-34.0259417,14.8675,,,,
390,695,150.6623017,-34.02592,14.9375,,,,
391,696,150.6623083,-34.0258967,14.9775,,,,
392,697,150.6623133,-34.0258767,15.005,,,,
393,698,150.66232,-34.0258567,14.9975,,,,
394,699,150.662325,-34.0258383,14.9725,,,,
395,700,150.6623267,-34.0258217,14.92,,,,
396,701,150.6623217,-34.0258067,14.855,,,,
397,702,150.6623083,-34.0257967,14.7825,,,,
398,703,150.6622917,-34.0257933,14.6875,,,,
399,704,150.662275,-34.0257967,14.595,,,,
400,705,150.6622617,-34.0258067,14.5175,,,,
401,706,150.6622533,-34.0258183,14.465,,,,
402,707,150.6622467,-34.0258333,14.435,,,,
403,708,150.6622417,-34.0258467,14.45,,,,
404,709,150.6622383,-34.0258617,14.4675,,,,
405,710,150.6622333,-34.0258767,14.5075,,,,
406,711,150.66223,-34.0258917,14.5675,,,,
407,712,150.6622267,-34.0259067,14.6475,,,,
408,713,150.6622217,-34.0259217,14.745,,,,
409,714,150.6622167,-34.0259367,14.825,,,,
410,715,150.6622117,-34.0259517,14.865,,,,
411,716,150.6622083,-34.0259667,14.91,,,,
412,717,150.662205,-34.0259833,14.9575,,,,
413,718,150.6622017,-34.026,14.995,,,,
414,719,150.6621983,-34.0260167,15.02,,,,
415,720,150.662195,-34.026035,15.0325,,,,
416,721,150.6621917,-34.0260517,15.03,,,,
417,722,150.6621883,-34.02607,15.0525,,,,
418,723,150.6621833,-34.0260883,15.05,,,,
419,724,150.66218,-34.0261067,15.0225,,,,
420,725,150.6621767,-34.026125,14.9875,,,,
421,726,150.6621733,-34.0261433,14.9625,,,,
422,727,150.6621683,-34.0261617,14.9325,,,,
423,728,150.662165,-34.0261817,14.9075,,,,
424,729,150.66216,-34.0262,14.8825,,,,
425,730,150.662155,-34.0262183,14.8425,,,,
426,731,150.66215,-34.0262383,14.8125,,,,
427,732,150.6621467,-34.0262567,14.7725,,,,
428,733,150.6621417,-34.026275,14.7325,,,,
429,734,150.6621383,-34.0262933,14.7025,,,,
430,735,150.6621317,-34.02631,14.66,,,,
431,736,150.6621167,-34.0263183,14.625,,,,
432,737,150.6621,-34.02632,14.5775,,,,
433,738,150.662085,-34.0263133,14.545,,,,
434,739,150.6620767,-34.0263,14.5425,,,,
435,740,150.6620733,-34.026285,14.56,,,,
436,741,150.662075,-34.02627,14.5925,,,,
437,742,150.66208,-34.0262533,14.6475,,,,
438,743,150.662085,-34.0262367,14.7175,,,,
439,744,150.66209,-34.0262183,14.8,,,,
440,745,150.662095,-34.0262,14.89,,,,
441,746,150.6621,-34.0261817,14.9775,,,,
442,747,150.662105,-34.0261633,15.055,,,,
443,748,150.66211,-34.026145,15.125,,,,
444,749,150.662115,-34.026125,15.17,,,,
